Sample Name, 60.40
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 3.1105, 0.08
191.0, 3.0262, 0.09
192.0, 3.9032, 0.01
193.0, 2.9721, 0.11
194.0, 3.2406, 0.06
195.0, 3.7081, 0.02
196.0, 3.4887, 0.03
197.0, 3.6179, 0.02
198.0, 3.2202, 0.06
199.0, 4.1108, 0.01
200.0, 3.3635, 0.04
201.0, 2.9248, 0.12
202.0, 3.3655, 0.04
203.0, 3.3968, 0.04
204.0, 4.2656, 0.01
205.0, 3.5128, 0.03
206.0, 3.6195, 0.02
207.0, 3.8648, 0.01
208.0, 3.4066, 0.04
209.0, 3.9041, 0.01
210.0, 3.8027, 0.02
211.0, 3.6470, 0.02
212.0, 4.1419, 0.01
213.0, 3.6151, 0.02
214.0, 3.7768, 0.02
215.0, 4.4895, 0.00
216.0, 3.5981, 0.03
217.0, 4.0349, 0.01
218.0, 3.8233, 0.02
219.0, 3.6281, 0.02
220.0, 4.5390, 0.00
221.0, 3.7009, 0.02
222.0, 3.7738, 0.02
223.0, 4.2556, 0.01
224.0, 3.6575, 0.02
225.0, 3.9611, 0.01
226.0, 3.9628, 0.01
227.0, 3.6628, 0.02
228.0, 4.2653, 0.01
229.0, 3.7214, 0.02
230.0, 3.7877, 0.02
231.0, 4.5647, 0.00
232.0, 3.6595, 0.02
233.0, 3.7812, 0.02
234.0, 4.2546, 0.01
235.0, 3.5509, 0.03
236.0, 4.0685, 0.01
237.0, 3.9383, 0.01
238.0, 3.6895, 0.02
239.0, 4.2283, 0.01
240.0, 3.8255, 0.01
241.0, 3.6171, 0.02
242.0, 4.2162, 0.01
243.0, 3.7366, 0.02
244.0, 3.8143, 0.02
245.0, 4.2121, 0.01
246.0, 3.5596, 0.03
247.0, 4.0383, 0.01
248.0, 3.8182, 0.02
249.0, 3.6157, 0.02
250.0, 4.5204, 0.00
251.0, 3.6184, 0.02
252.0, 3.8232, 0.02
253.0, 4.2213, 0.01
254.0, 3.6184, 0.02
255.0, 3.9179, 0.01
256.0, 4.0405, 0.01
257.0, 3.6691, 0.02
258.0, 4.2092, 0.01
259.0, 3.7271, 0.02
260.0, 3.6544, 0.02
261.0, 4.1924, 0.01
262.0, 3.5831, 0.03
263.0, 3.6336, 0.02
264.0, 3.9937, 0.01
265.0, 3.5084, 0.03
266.0, 4.4550, 0.00
267.0, 3.8450, 0.01
268.0, 3.6612, 0.02
269.0, 4.4314, 0.00
270.0, 3.5785, 0.03
271.0, 3.8145, 0.02
272.0, 3.9326, 0.01
273.0, 3.4499, 0.04
274.0, 3.7975, 0.02
275.0, 3.9185, 0.01
276.0, 3.5475, 0.03
277.0, 3.9132, 0.01
278.0, 3.6892, 0.02
279.0, 3.6085, 0.02
280.0, 4.0841, 0.01
281.0, 3.5388, 0.03
282.0, 3.6841, 0.02
283.0, 4.0810, 0.01
284.0, 3.5359, 0.03
285.0, 4.0790, 0.01
286.0, 3.9016, 0.01
287.0, 3.6789, 0.02
288.0, 4.3771, 0.00
289.0, 3.5985, 0.03
290.0, 3.5987, 0.03
291.0, 4.3767, 0.00
292.0, 3.4225, 0.04
293.0, 3.6776, 0.02
294.0, 3.8990, 0.01
295.0, 3.5973, 0.03
296.0, 4.0732, 0.01
297.0, 3.7705, 0.02
298.0, 3.5923, 0.03
299.0, 4.3675, 0.00
300.0, 3.4618, 0.03
301.0, 3.5837, 0.03
302.0, 4.3583, 0.00
303.0, 3.5098, 0.03
304.0, 4.0498, 0.01
305.0, 3.6478, 0.02
306.0, 3.4977, 0.03
307.0, 4.3382, 0.00
308.0, 3.5558, 0.03
309.0, 3.4842, 0.03
310.0, 4.0228, 0.01
311.0, 3.4157, 0.04
312.0, 3.8366, 0.01
313.0, 4.3090, 0.00
314.0, 3.6456, 0.02
315.0, 3.8165, 0.02
316.0, 3.5104, 0.03
317.0, 4.1068, 0.01
318.0, 3.6243, 0.02
319.0, 3.4937, 0.03
320.0, 3.9656, 0.01
321.0, 3.3584, 0.04
322.0, 3.4426, 0.04
323.0, 3.8518, 0.01
324.0, 3.3988, 0.04
325.0, 3.9360, 0.01
326.0, 3.6858, 0.02
327.0, 3.4095, 0.04
328.0, 4.5164, 0.00
329.0, 3.3958, 0.04
330.0, 3.5026, 0.03
331.0, 3.7966, 0.02
332.0, 3.4464, 0.04
333.0, 3.6349, 0.02
334.0, 3.9961, 0.01
335.0, 3.3872, 0.04
336.0, 3.6815, 0.02
337.0, 3.6077, 0.02
338.0, 3.4042, 0.04
339.0, 3.7408, 0.02
340.0, 3.6499, 0.02
341.0, 3.1137, 0.08
342.0, 3.1886, 0.06
343.0, 4.2777, 0.01
344.0, 3.1737, 0.07
345.0, 3.5204, 0.03
346.0, 3.7080, 0.02
347.0, 3.3214, 0.05
348.0, 4.0325, 0.01
349.0, 3.3461, 0.05
350.0, 3.3162, 0.05
351.0, 4.0681, 0.01
352.0, 3.3808, 0.04
353.0, 3.4907, 0.03
354.0, 4.1045, 0.01
355.0, 3.3731, 0.04
356.0, 3.7231, 0.02
357.0, 3.5826, 0.03
358.0, 3.3899, 0.04
359.0, 3.8316, 0.01
360.0, 3.5889, 0.03
361.0, 3.3189, 0.05
362.0, 4.4303, 0.00
363.0, 3.2491, 0.06
364.0, 3.5156, 0.03
365.0, 3.6316, 0.02
366.0, 3.3192, 0.05
367.0, 3.7831, 0.02
368.0, 3.3266, 0.05
369.0, 3.1714, 0.07
370.0, 2.9475, 0.11
371.0, 3.7644, 0.02
372.0, 3.7793, 0.02
373.0, 3.4929, 0.03
374.0, 4.2862, 0.01
375.0, 3.5227, 0.03
376.0, 3.4130, 0.04
377.0, 3.7299, 0.02
378.0, 3.3057, 0.05
379.0, 3.4592, 0.03
380.0, 3.3770, 0.04
381.0, 3.1866, 0.07
382.0, 3.2286, 0.06
383.0, 3.0381, 0.09
384.0, 2.8752, 0.13
385.0, 2.8646, 0.14
386.0, 2.7320, 0.19
387.0, 2.6683, 0.21
388.0, 2.6036, 0.25
389.0, 2.4818, 0.33
390.0, 2.4441, 0.36
391.0, 2.3243, 0.47
392.0, 2.2726, 0.53
393.0, 2.1986, 0.63
394.0, 2.1241, 0.75
395.0, 2.0775, 0.84
396.0, 2.0112, 0.97
397.0, 1.9645, 1.09
398.0, 1.9255, 1.19
399.0, 1.8703, 1.35
400.0, 1.8305, 1.48
401.0, 1.7857, 1.64
402.0, 1.7395, 1.82
403.0, 1.7042, 1.98
404.0, 1.6654, 2.16
405.0, 1.6297, 2.35
406.0, 1.5998, 2.51
407.0, 1.5657, 2.72
408.0, 1.5381, 2.90
409.0, 1.5119, 3.08
410.0, 1.4828, 3.29
411.0, 1.4608, 3.46
412.0, 1.4346, 3.68
413.0, 1.4047, 3.94
414.0, 1.3810, 4.16
415.0, 1.3560, 4.41
416.0, 1.3353, 4.62
417.0, 1.3171, 4.82
418.0, 1.2958, 5.06
419.0, 1.2779, 5.27
420.0, 1.2607, 5.49
421.0, 1.2433, 5.71
422.0, 1.2288, 5.90
423.0, 1.2126, 6.13
424.0, 1.1978, 6.34
425.0, 1.1850, 6.53
426.0, 1.1699, 6.76
427.0, 1.1577, 6.95
428.0, 1.1461, 7.14
429.0, 1.1326, 7.37
430.0, 1.1217, 7.56
431.0, 1.1099, 7.76
432.0, 1.0986, 7.97
433.0, 1.0887, 8.15
434.0, 1.0786, 8.34
435.0, 1.0692, 8.53
436.0, 1.0604, 8.70
437.0, 1.0505, 8.90
438.0, 1.0426, 9.07
439.0, 1.0346, 9.23
440.0, 1.0264, 9.41
441.0, 1.0195, 9.56
442.0, 1.0126, 9.71
443.0, 1.0054, 9.88
444.0, 0.9997, 10.01
445.0, 0.9930, 10.16
446.0, 0.9873, 10.30
447.0, 0.9830, 10.40
448.0, 0.9768, 10.55
449.0, 0.9715, 10.68
450.0, 0.9672, 10.79
451.0, 0.9539, 11.12
452.0, 0.9486, 11.26
453.0, 0.9448, 11.36
454.0, 0.9392, 11.50
455.0, 0.9349, 11.62
456.0, 0.9311, 11.72
457.0, 0.9261, 11.86
458.0, 0.9230, 11.94
459.0, 0.9197, 12.03
460.0, 0.9154, 12.15
461.0, 0.9127, 12.23
462.0, 0.9087, 12.34
463.0, 0.9052, 12.44
464.0, 0.9026, 12.51
465.0, 0.8988, 12.62
466.0, 0.8962, 12.70
467.0, 0.8934, 12.78
468.0, 0.8903, 12.87
469.0, 0.8884, 12.93
470.0, 0.8855, 13.02
471.0, 0.8827, 13.10
472.0, 0.8809, 13.16
473.0, 0.8772, 13.27
474.0, 0.8746, 13.35
475.0, 0.8724, 13.42
476.0, 0.8698, 13.50
477.0, 0.8677, 13.56
478.0, 0.8656, 13.63
479.0, 0.8631, 13.71
480.0, 0.8613, 13.76
481.0, 0.8591, 13.83
482.0, 0.8568, 13.91
483.0, 0.8555, 13.95
484.0, 0.8528, 14.03
485.0, 0.8512, 14.09
486.0, 0.8494, 14.15
487.0, 0.8477, 14.20
488.0, 0.8464, 14.24
489.0, 0.8438, 14.33
490.0, 0.8427, 14.37
491.0, 0.8403, 14.44
492.0, 0.8386, 14.50
493.0, 0.8372, 14.55
494.0, 0.8352, 14.62
495.0, 0.8336, 14.67
496.0, 0.8319, 14.73
497.0, 0.8301, 14.79
498.0, 0.8287, 14.84
499.0, 0.8272, 14.89
500.0, 0.8256, 14.94
501.0, 0.8242, 14.99
502.0, 0.8226, 15.04
503.0, 0.8214, 15.09
504.0, 0.8197, 15.14
505.0, 0.8186, 15.19
506.0, 0.8173, 15.23
507.0, 0.8159, 15.28
508.0, 0.8142, 15.34
509.0, 0.8133, 15.37
510.0, 0.8116, 15.43
511.0, 0.8103, 15.48
512.0, 0.8089, 15.53
513.0, 0.8076, 15.58
514.0, 0.8060, 15.63
515.0, 0.8048, 15.67
516.0, 0.8034, 15.72
517.0, 0.8027, 15.75
518.0, 0.8013, 15.80
519.0, 0.8000, 15.85
520.0, 0.7990, 15.88
521.0, 0.7981, 15.92
522.0, 0.7965, 15.98
523.0, 0.7957, 16.01
524.0, 0.7941, 16.06
525.0, 0.7931, 16.10
526.0, 0.7922, 16.13
527.0, 0.7905, 16.20
528.0, 0.7901, 16.22
529.0, 0.7891, 16.25
530.0, 0.7878, 16.30
531.0, 0.7872, 16.32
532.0, 0.7856, 16.38
533.0, 0.7846, 16.42
534.0, 0.7836, 16.46
535.0, 0.7823, 16.51
536.0, 0.7812, 16.55
537.0, 0.7801, 16.59
538.0, 0.7790, 16.63
539.0, 0.7782, 16.67
540.0, 0.7771, 16.71
541.0, 0.7763, 16.74
542.0, 0.7753, 16.78
543.0, 0.7741, 16.82
544.0, 0.7735, 16.85
545.0, 0.7725, 16.89
546.0, 0.7714, 16.93
547.0, 0.7707, 16.96
548.0, 0.7699, 16.99
549.0, 0.7686, 17.04
550.0, 0.7680, 17.06
551.0, 0.7670, 17.10
552.0, 0.7660, 17.14
553.0, 0.7653, 17.17
554.0, 0.7641, 17.22
555.0, 0.7632, 17.25
556.0, 0.7625, 17.28
557.0, 0.7611, 17.33
558.0, 0.7609, 17.34
559.0, 0.7599, 17.38
560.0, 0.7589, 17.42
561.0, 0.7583, 17.45
562.0, 0.7573, 17.49
563.0, 0.7564, 17.52
564.0, 0.7560, 17.54
565.0, 0.7549, 17.58
566.0, 0.7545, 17.60
567.0, 0.7535, 17.64
568.0, 0.7524, 17.69
569.0, 0.7519, 17.71
570.0, 0.7509, 17.75
571.0, 0.7498, 17.79
572.0, 0.7491, 17.82
573.0, 0.7480, 17.86
574.0, 0.7472, 17.90
575.0, 0.7467, 17.92
576.0, 0.7456, 17.96
577.0, 0.7451, 17.99
578.0, 0.7442, 18.02
579.0, 0.7434, 18.06
580.0, 0.7428, 18.08
581.0, 0.7420, 18.11
582.0, 0.7411, 18.15
583.0, 0.7407, 18.17
584.0, 0.7397, 18.21
585.0, 0.7392, 18.23
586.0, 0.7379, 18.29
587.0, 0.7371, 18.32
588.0, 0.7365, 18.35
589.0, 0.7355, 18.39
590.0, 0.7350, 18.41
591.0, 0.7341, 18.45
592.0, 0.7337, 18.46
593.0, 0.7327, 18.50
594.0, 0.7319, 18.54
595.0, 0.7309, 18.58
596.0, 0.7305, 18.60
597.0, 0.7298, 18.63
598.0, 0.7289, 18.67
599.0, 0.7282, 18.70
600.0, 0.7274, 18.73
601.0, 0.7270, 18.75
602.0, 0.7250, 18.84
603.0, 0.7245, 18.86
604.0, 0.7237, 18.89
605.0, 0.7231, 18.92
606.0, 0.7225, 18.94
607.0, 0.7218, 18.98
608.0, 0.7211, 19.01
609.0, 0.7206, 19.03
610.0, 0.7198, 19.06
611.0, 0.7192, 19.09
612.0, 0.7186, 19.11
613.0, 0.7177, 19.16
614.0, 0.7172, 19.18
615.0, 0.7166, 19.21
616.0, 0.7159, 19.24
617.0, 0.7152, 19.27
618.0, 0.7145, 19.30
619.0, 0.7139, 19.32
620.0, 0.7132, 19.35
621.0, 0.7125, 19.38
622.0, 0.7119, 19.41
623.0, 0.7114, 19.43
624.0, 0.7105, 19.47
625.0, 0.7100, 19.50
626.0, 0.7093, 19.53
627.0, 0.7087, 19.56
628.0, 0.7084, 19.57
629.0, 0.7075, 19.61
630.0, 0.7067, 19.65
631.0, 0.7061, 19.67
632.0, 0.7054, 19.71
633.0, 0.7047, 19.74
634.0, 0.7041, 19.76
635.0, 0.7032, 19.81
636.0, 0.7027, 19.83
637.0, 0.7021, 19.85
638.0, 0.7014, 19.89
639.0, 0.7008, 19.91
640.0, 0.7001, 19.95
641.0, 0.6996, 19.97
642.0, 0.6988, 20.01
643.0, 0.6981, 20.04
644.0, 0.6976, 20.06
645.0, 0.6971, 20.08
646.0, 0.6964, 20.12
647.0, 0.6958, 20.15
648.0, 0.6950, 20.18
649.0, 0.6944, 20.21
650.0, 0.6938, 20.24
651.0, 0.6933, 20.26
652.0, 0.6927, 20.29
653.0, 0.6921, 20.32
654.0, 0.6913, 20.36
655.0, 0.6908, 20.38
656.0, 0.6902, 20.41
657.0, 0.6894, 20.45
658.0, 0.6890, 20.46
659.0, 0.6881, 20.51
660.0, 0.6876, 20.53
661.0, 0.6871, 20.56
662.0, 0.6864, 20.59
663.0, 0.6860, 20.61
664.0, 0.6853, 20.64
665.0, 0.6847, 20.67
666.0, 0.6841, 20.70
667.0, 0.6835, 20.72
668.0, 0.6830, 20.75
669.0, 0.6825, 20.77
670.0, 0.6819, 20.80
671.0, 0.6813, 20.83
672.0, 0.6806, 20.86
673.0, 0.6799, 20.90
674.0, 0.6795, 20.92
675.0, 0.6789, 20.95
676.0, 0.6783, 20.98
677.0, 0.6780, 20.99
678.0, 0.6769, 21.04
679.0, 0.6767, 21.05
680.0, 0.6760, 21.08
681.0, 0.6753, 21.12
682.0, 0.6750, 21.13
683.0, 0.6742, 21.17
684.0, 0.6736, 21.20
685.0, 0.6731, 21.23
686.0, 0.6725, 21.26
687.0, 0.6722, 21.27
688.0, 0.6716, 21.30
689.0, 0.6709, 21.34
690.0, 0.6705, 21.36
691.0, 0.6698, 21.39
692.0, 0.6693, 21.42
693.0, 0.6689, 21.44
694.0, 0.6680, 21.48
695.0, 0.6676, 21.50
696.0, 0.6673, 21.52
697.0, 0.6665, 21.55
698.0, 0.6661, 21.57
699.0, 0.6657, 21.59
700.0, 0.6650, 21.63
701.0, 0.6647, 21.64
702.0, 0.6640, 21.68
703.0, 0.6636, 21.70
704.0, 0.6632, 21.72
705.0, 0.6626, 21.75
706.0, 0.6622, 21.77
707.0, 0.6617, 21.79
708.0, 0.6612, 21.82
709.0, 0.6608, 21.84
710.0, 0.6604, 21.86
711.0, 0.6599, 21.88
712.0, 0.6595, 21.90
713.0, 0.6589, 21.93
714.0, 0.6585, 21.95
715.0, 0.6582, 21.97
716.0, 0.6575, 22.00
717.0, 0.6571, 22.02
718.0, 0.6567, 22.05
719.0, 0.6562, 22.07
720.0, 0.6558, 22.09
721.0, 0.6554, 22.11
722.0, 0.6548, 22.14
723.0, 0.6545, 22.15
724.0, 0.6539, 22.19
725.0, 0.6536, 22.20
726.0, 0.6532, 22.22
727.0, 0.6527, 22.25
728.0, 0.6522, 22.27
729.0, 0.6518, 22.29
730.0, 0.6513, 22.32
731.0, 0.6510, 22.33
732.0, 0.6505, 22.36
733.0, 0.6500, 22.39
734.0, 0.6497, 22.40
735.0, 0.6492, 22.43
736.0, 0.6488, 22.45
737.0, 0.6485, 22.47
738.0, 0.6480, 22.49
739.0, 0.6476, 22.51
740.0, 0.6472, 22.53
741.0, 0.6466, 22.56
742.0, 0.6464, 22.58
743.0, 0.6459, 22.60
744.0, 0.6453, 22.63
745.0, 0.6451, 22.64
746.0, 0.6446, 22.67
747.0, 0.6443, 22.69
748.0, 0.6439, 22.71
749.0, 0.6432, 22.74
750.0, 0.6432, 22.74
751.0, 0.6426, 22.77
752.0, 0.6421, 22.80
753.0, 0.6417, 22.82
754.0, 0.6414, 22.84
755.0, 0.6410, 22.86
756.0, 0.6406, 22.88
757.0, 0.6400, 22.91
758.0, 0.6395, 22.93
759.0, 0.6394, 22.94
760.0, 0.6388, 22.97
761.0, 0.6386, 22.98
762.0, 0.6381, 23.01
763.0, 0.6376, 23.03
764.0, 0.6376, 23.04
765.0, 0.6369, 23.07
766.0, 0.6367, 23.08
767.0, 0.6363, 23.10
768.0, 0.6355, 23.15
769.0, 0.6355, 23.15
770.0, 0.6352, 23.16
771.0, 0.6346, 23.20
772.0, 0.6346, 23.19
773.0, 0.6340, 23.23
774.0, 0.6336, 23.25
775.0, 0.6333, 23.27
776.0, 0.6327, 23.29
777.0, 0.6326, 23.30
778.0, 0.6320, 23.34
779.0, 0.6316, 23.36
780.0, 0.6313, 23.37
781.0, 0.6307, 23.40
782.0, 0.6305, 23.42
783.0, 0.6303, 23.43
784.0, 0.6298, 23.45
785.0, 0.6295, 23.47
786.0, 0.6293, 23.48
787.0, 0.6286, 23.52
788.0, 0.6284, 23.53
789.0, 0.6282, 23.54
790.0, 0.6275, 23.58
791.0, 0.6272, 23.59
792.0, 0.6257, 23.68
793.0, 0.6257, 23.67
794.0, 0.6252, 23.70
795.0, 0.6249, 23.72
796.0, 0.6248, 23.73
797.0, 0.6243, 23.75
798.0, 0.6242, 23.76
799.0, 0.6238, 23.78
800.0, 0.6234, 23.80
801.0, 0.6235, 23.80
802.0, 0.6227, 23.84
803.0, 0.6225, 23.85
804.0, 0.6224, 23.86
805.0, 0.6219, 23.88
806.0, 0.6217, 23.89
807.0, 0.6215, 23.91
808.0, 0.6211, 23.93
809.0, 0.6208, 23.95
810.0, 0.6203, 23.97
811.0, 0.6199, 23.99
812.0, 0.6199, 24.00
813.0, 0.6194, 24.02
814.0, 0.6191, 24.04
815.0, 0.6189, 24.05
816.0, 0.6185, 24.07
817.0, 0.6182, 24.09
818.0, 0.6179, 24.10
819.0, 0.6175, 24.13
820.0, 0.6174, 24.13
821.0, 0.6169, 24.16
822.0, 0.6167, 24.17
823.0, 0.6165, 24.18
824.0, 0.6159, 24.21
825.0, 0.6158, 24.22
826.0, 0.6156, 24.23
827.0, 0.6151, 24.26
828.0, 0.6150, 24.27
829.0, 0.6146, 24.29
830.0, 0.6143, 24.31
831.0, 0.6141, 24.32
832.0, 0.6138, 24.33
833.0, 0.6134, 24.35
834.0, 0.6135, 24.35
835.0, 0.6130, 24.38
836.0, 0.6127, 24.39
837.0, 0.6127, 24.40
838.0, 0.6119, 24.44
839.0, 0.6119, 24.44
840.0, 0.6116, 24.46
841.0, 0.6112, 24.48
842.0, 0.6110, 24.49
843.0, 0.6107, 24.51
844.0, 0.6103, 24.53
845.0, 0.6104, 24.52
846.0, 0.6098, 24.56
847.0, 0.6098, 24.56
848.0, 0.6095, 24.57
849.0, 0.6090, 24.61
850.0, 0.6091, 24.60
851.0, 0.6082, 24.65
852.0, 0.6080, 24.66
853.0, 0.6077, 24.68
854.0, 0.6076, 24.69
855.0, 0.6075, 24.69
856.0, 0.6072, 24.70
857.0, 0.6069, 24.72
858.0, 0.6068, 24.73
859.0, 0.6065, 24.74
860.0, 0.6063, 24.76
861.0, 0.6060, 24.77
862.0, 0.6058, 24.79
863.0, 0.6056, 24.80
864.0, 0.6053, 24.82
865.0, 0.6050, 24.83
866.0, 0.6049, 24.84
867.0, 0.6046, 24.85
868.0, 0.6046, 24.86
869.0, 0.6042, 24.88
870.0, 0.6040, 24.89
871.0, 0.6037, 24.91
872.0, 0.6035, 24.92
873.0, 0.6032, 24.94
874.0, 0.6030, 24.95
875.0, 0.6027, 24.96
876.0, 0.6025, 24.97
877.0, 0.6022, 24.99
878.0, 0.6020, 25.00
879.0, 0.6018, 25.02
880.0, 0.6014, 25.04
881.0, 0.6013, 25.04
882.0, 0.6010, 25.06
883.0, 0.6008, 25.07
884.0, 0.6005, 25.09
885.0, 0.6003, 25.10
886.0, 0.6001, 25.11
887.0, 0.5998, 25.13
888.0, 0.5995, 25.15
889.0, 0.5993, 25.16
890.0, 0.5991, 25.17
891.0, 0.5989, 25.18
892.0, 0.5987, 25.20
893.0, 0.5984, 25.21
894.0, 0.5981, 25.23
895.0, 0.5980, 25.24
896.0, 0.5977, 25.25
897.0, 0.5974, 25.27
898.0, 0.5972, 25.28
899.0, 0.5970, 25.29
900.0, 0.5968, 25.31
901.0, 0.5965, 25.32
902.0, 0.5961, 25.34
903.0, 0.5960, 25.35
904.0, 0.5958, 25.36
905.0, 0.5955, 25.38
906.0, 0.5952, 25.40
907.0, 0.5951, 25.40
908.0, 0.5949, 25.42
909.0, 0.5946, 25.43
910.0, 0.5942, 25.45
911.0, 0.5941, 25.46
912.0, 0.5938, 25.48
913.0, 0.5936, 25.49
914.0, 0.5934, 25.50
915.0, 0.5932, 25.52
916.0, 0.5928, 25.54
917.0, 0.5926, 25.55
918.0, 0.5922, 25.57
919.0, 0.5921, 25.58
920.0, 0.5919, 25.59
921.0, 0.5916, 25.61
922.0, 0.5914, 25.62
923.0, 0.5911, 25.64
924.0, 0.5909, 25.65
925.0, 0.5908, 25.66
926.0, 0.5904, 25.68
927.0, 0.5901, 25.70
928.0, 0.5899, 25.71
929.0, 0.5897, 25.72
930.0, 0.5894, 25.74
931.0, 0.5892, 25.75
932.0, 0.5888, 25.78
933.0, 0.5887, 25.78
934.0, 0.5884, 25.80
935.0, 0.5881, 25.81
936.0, 0.5880, 25.83
937.0, 0.5876, 25.85
938.0, 0.5874, 25.86
939.0, 0.5873, 25.87
940.0, 0.5869, 25.89
941.0, 0.5868, 25.89
942.0, 0.5864, 25.92
943.0, 0.5863, 25.92
944.0, 0.5861, 25.94
945.0, 0.5858, 25.95
946.0, 0.5855, 25.97
947.0, 0.5852, 25.99
948.0, 0.5851, 26.00
949.0, 0.5847, 26.02
950.0, 0.5845, 26.03
951.0, 0.5843, 26.05
952.0, 0.5840, 26.06
953.0, 0.5837, 26.08
954.0, 0.5834, 26.10
955.0, 0.5834, 26.09
956.0, 0.5831, 26.12
957.0, 0.5829, 26.13
958.0, 0.5828, 26.13
959.0, 0.5825, 26.15
960.0, 0.5824, 26.16
961.0, 0.5821, 26.18
962.0, 0.5817, 26.20
963.0, 0.5816, 26.20
964.0, 0.5814, 26.22
965.0, 0.5811, 26.24
966.0, 0.5807, 26.26
967.0, 0.5806, 26.27
968.0, 0.5803, 26.29
969.0, 0.5801, 26.30
970.0, 0.5798, 26.32
971.0, 0.5796, 26.33
972.0, 0.5782, 26.41
973.0, 0.5782, 26.41
974.0, 0.5779, 26.43
975.0, 0.5778, 26.44
976.0, 0.5777, 26.44
977.0, 0.5775, 26.46
978.0, 0.5772, 26.47
979.0, 0.5772, 26.47
980.0, 0.5769, 26.49
981.0, 0.5769, 26.49
982.0, 0.5767, 26.50
983.0, 0.5763, 26.53
984.0, 0.5763, 26.53
985.0, 0.5760, 26.54
986.0, 0.5758, 26.56
987.0, 0.5756, 26.57
988.0, 0.5754, 26.59
989.0, 0.5752, 26.60
990.0, 0.5751, 26.60
991.0, 0.5746, 26.63
992.0, 0.5745, 26.64
993.0, 0.5743, 26.65
994.0, 0.5741, 26.67
995.0, 0.5740, 26.67
996.0, 0.5736, 26.69
997.0, 0.5735, 26.70
998.0, 0.5733, 26.71
999.0, 0.5729, 26.74
1000.0, 0.5728, 26.74
1001.0, 0.5725, 26.76
1002.0, 0.5723, 26.77
1003.0, 0.5721, 26.78
1004.0, 0.5718, 26.81
1005.0, 0.5716, 26.82
1006.0, 0.5714, 26.83
1007.0, 0.5710, 26.85
1008.0, 0.5707, 26.87
1009.0, 0.5704, 26.89
1010.0, 0.5703, 26.90
1011.0, 0.5701, 26.91
1012.0, 0.5698, 26.93
1013.0, 0.5696, 26.94
1014.0, 0.5695, 26.95
1015.0, 0.5690, 26.98
1016.0, 0.5688, 26.99
1017.0, 0.5676, 27.06
1018.0, 0.5674, 27.07
1019.0, 0.5676, 27.07
1020.0, 0.5672, 27.09
1021.0, 0.5672, 27.09
1022.0, 0.5672, 27.09
1023.0, 0.5667, 27.12
1024.0, 0.5668, 27.12
1025.0, 0.5665, 27.14
1026.0, 0.5662, 27.15
1027.0, 0.5662, 27.15
1028.0, 0.5658, 27.18
1029.0, 0.5657, 27.18
1030.0, 0.5655, 27.19
1031.0, 0.5652, 27.22
1032.0, 0.5651, 27.22
1033.0, 0.5652, 27.22
1034.0, 0.5645, 27.26
1035.0, 0.5647, 27.25
1036.0, 0.5643, 27.27
1037.0, 0.5640, 27.29
1038.0, 0.5642, 27.27
1039.0, 0.5636, 27.32
1040.0, 0.5635, 27.32
1041.0, 0.5634, 27.32
1042.0, 0.5630, 27.36
1043.0, 0.5631, 27.34
1044.0, 0.5628, 27.36
1045.0, 0.5624, 27.39
1046.0, 0.5627, 27.37
1047.0, 0.5622, 27.40
1048.0, 0.5615, 27.45
1049.0, 0.5608, 27.49
1050.0, 0.5606, 27.50
1051.0, 0.5609, 27.49
1052.0, 0.5604, 27.52
1053.0, 0.5607, 27.50
1054.0, 0.5608, 27.49
1055.0, 0.5599, 27.55
1056.0, 0.5604, 27.52
1057.0, 0.5601, 27.53
1058.0, 0.5597, 27.56
1059.0, 0.5600, 27.54
1060.0, 0.5593, 27.59
1061.0, 0.5594, 27.58
1062.0, 0.5595, 27.57
1063.0, 0.5587, 27.63
1064.0, 0.5592, 27.59
1065.0, 0.5594, 27.58
1066.0, 0.5587, 27.62
1067.0, 0.5593, 27.59
1068.0, 0.5588, 27.62
1069.0, 0.5587, 27.63
1070.0, 0.5589, 27.61
1071.0, 0.5583, 27.65
1072.0, 0.5585, 27.64
1073.0, 0.5584, 27.64
1074.0, 0.5574, 27.71
1075.0, 0.5584, 27.64
1076.0, 0.5588, 27.62
1077.0, 0.5568, 27.75
1078.0, 0.5565, 27.77
1079.0, 0.5561, 27.79
1080.0, 0.5568, 27.74
1081.0, 0.5559, 27.80
1082.0, 0.5561, 27.79
1083.0, 0.5562, 27.78
1084.0, 0.5549, 27.87
1085.0, 0.5552, 27.85
1086.0, 0.5548, 27.87
1087.0, 0.5541, 27.92
1088.0, 0.5549, 27.86
1089.0, 0.5536, 27.95
1090.0, 0.5536, 27.95
1091.0, 0.5542, 27.91
1092.0, 0.5528, 28.00
1093.0, 0.5532, 27.98
1094.0, 0.5524, 28.03
1095.0, 0.5498, 28.20
1096.0, 0.5486, 28.28
1097.0, 0.5463, 28.42
1098.0, 0.5441, 28.57
1099.0, 0.5451, 28.50
1100.0, 0.5450, 28.51
